"","HURON.Class","HURON.fieldacres","HURON.Commodity","HURON.Bin","HURON.Year","HURON.year","HURON.threshold","HURON.NASSacres","HURON.County"
"1644",5,54671.305352972,"SOYBEANS","Soy",2017,2017,7,66153,"HURON"
"1645",21,76.3511738117932,"BARLEY","Row Crops",2017,2017,7,166,"HURON"
"1646",24,66346.9972829324,"WHEAT","Winter Wheat",2017,2017,7,150400,"HURON"
"1647",27,292.425732379139,"RYE","Rye",2017,2017,7,1784,"HURON"
"1648",28,923.70893163474,"OATS","Row Crops",2017,2017,7,1008,"HURON"
"1650",36,21664.0403026075,"HAY","Alfalfa",2017,2017,7,26620,"HURON"
"1651",41,48416.6641162024,"SUGARBEETS","Sugarbeets",2017,2017,7,58745,"HURON"
"1653",43,157.906280286703,"POTATOES","Potatoes",2017,2017,7,6,"HURON"
"1658",1,92834.6439291992,"CORN","Corn",2017,2017,6,120605,"HURON"
"1659",5,54836.2187371374,"SOYBEANS","Soy",2017,2017,6,66153,"HURON"
"1660",21,76.3511738117932,"BARLEY","Row Crops",2017,2017,6,166,"HURON"
"1661",24,66447.5173398068,"WHEAT","Winter Wheat",2017,2017,6,150400,"HURON"
"1662",27,294.58137649536,"RYE","Rye",2017,2017,6,1784,"HURON"
"1663",28,925.925455883366,"OATS","Row Crops",2017,2017,6,1008,"HURON"
"1665",36,21777.3904202312,"HAY","Alfalfa",2017,2017,6,26620,"HURON"
"1666",41,48456.4197655058,"SUGARBEETS","Sugarbeets",2017,2017,6,58745,"HURON"
"1668",43,157.906280286703,"POTATOES","Potatoes",2017,2017,6,6,"HURON"
"1673",1,92999.5256735481,"CORN","Corn",2017,2017,5,120605,"HURON"
"1674",5,54965.4848592154,"SOYBEANS","Soy",2017,2017,5,66153,"HURON"
"1675",21,76.3511738117932,"BARLEY","Row Crops",2017,2017,5,166,"HURON"
"1676",24,66557.5772411436,"WHEAT","Winter Wheat",2017,2017,5,150400,"HURON"
"1677",27,299.381650411691,"RYE","Rye",2017,2017,5,1784,"HURON"
"1678",28,926.996641036602,"OATS","Row Crops",2017,2017,5,1008,"HURON"
"1680",36,21825.9063803115,"HAY","Alfalfa",2017,2017,5,26620,"HURON"
"1681",41,48533.2447906648,"SUGARBEETS","Sugarbeets",2017,2017,5,58745,"HURON"
"1683",43,157.906280286703,"POTATOES","Potatoes",2017,2017,5,6,"HURON"
"1688",1,93249.4378127719,"CORN","Corn",2017,2017,4,120605,"HURON"
"1689",5,55115.3479988037,"SOYBEANS","Soy",2017,2017,4,66153,"HURON"
"1690",21,76.3511738117932,"BARLEY","Row Crops",2017,2017,4,166,"HURON"
"1691",24,66717.8969248382,"WHEAT","Winter Wheat",2017,2017,4,150400,"HURON"
"1692",27,301.604212142515,"RYE","Rye",2017,2017,4,1784,"HURON"
"1693",28,929.539340506838,"OATS","Row Crops",2017,2017,4,1008,"HURON"
"1695",36,21877.2399255331,"HAY","Alfalfa",2017,2017,4,26620,"HURON"
"1696",41,48659.823586927,"SUGARBEETS","Sugarbeets",2017,2017,4,58745,"HURON"
"1698",43,157.906280286703,"POTATOES","Potatoes",2017,2017,4,6,"HURON"
"1703",1,93530.1665376851,"CORN","Corn",2017,2017,3,120605,"HURON"
"1704",5,55280.5943152696,"SOYBEANS","Soy",2017,2017,3,66153,"HURON"
"1705",21,76.4644240965234,"BARLEY","Row Crops",2017,2017,3,166,"HURON"
"1706",24,66936.5162803725,"WHEAT","Winter Wheat",2017,2017,3,150400,"HURON"
"1707",27,303.257505065977,"RYE","Rye",2017,2017,3,1784,"HURON"
"1708",28,953.881774532592,"OATS","Row Crops",2017,2017,3,1008,"HURON"
"1710",36,21969.7089414074,"HAY","Alfalfa",2017,2017,3,26620,"HURON"
"1711",41,48803.0726436821,"SUGARBEETS","Sugarbeets",2017,2017,3,58745,"HURON"
"1713",43,160.985817118962,"POTATOES","Potatoes",2017,2017,3,6,"HURON"
"1719",1,93646.3111997187,"CORN","Corn",2017,2017,2,120605,"HURON"
"1720",5,55384.7656228321,"SOYBEANS","Soy",2017,2017,2,66153,"HURON"
"1721",21,76.4644240965234,"BARLEY","Row Crops",2017,2017,2,166,"HURON"
"1722",24,67011.3957564087,"WHEAT","Winter Wheat",2017,2017,2,150400,"HURON"
"1723",27,303.387571219993,"RYE","Rye",2017,2017,2,1784,"HURON"
"1724",28,954.794620339972,"OATS","Row Crops",2017,2017,2,1008,"HURON"
"1726",36,22021.9016114112,"HAY","Alfalfa",2017,2017,2,26620,"HURON"
"1727",41,48839.1614202662,"SUGARBEETS","Sugarbeets",2017,2017,2,58745,"HURON"
"1729",43,149.064840461923,"POTATOES","Potatoes",2017,2017,2,6,"HURON"
"1735",1,93690.0790726367,"CORN","Corn",2017,2017,1,120605,"HURON"
"1736",5,55426.2063489396,"SOYBEANS","Soy",2017,2017,1,66153,"HURON"
"1737",21,76.4644240965234,"BARLEY","Row Crops",2017,2017,1,166,"HURON"
"1738",24,67064.8899230783,"WHEAT","Winter Wheat",2017,2017,1,150400,"HURON"
"1739",27,303.387571099336,"RYE","Rye",2017,2017,1,1784,"HURON"
"1740",28,954.794620339972,"OATS","Row Crops",2017,2017,1,1008,"HURON"
"1742",36,22038.247642031,"HAY","Alfalfa",2017,2017,1,26620,"HURON"
"1743",41,48850.3099037997,"SUGARBEETS","Sugarbeets",2017,2017,1,58745,"HURON"
"1745",43,149.064840461923,"POTATOES","Potatoes",2017,2017,1,6,"HURON"
